ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-1369,2,2016-03-31 16:36:45,2016-03-31 22:36:45,37.80937,-122.36581,37.78743,-122.38939,1.989,Between Hillcrest Rd and Bay Bridge (San Francisco) - Accident.,139.0, Forest Rd,R,San Francisco,San Francisco,CA,94130-1502,US,US/Pacific,KOAK,2016-03-31 16:53:00,61.0,,64.0,30.12,10.0,West,24.2,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1397,2,2016-04-01 08:17:00,2016-04-01 14:17:00,37.80937,-122.36581,37.78743,-122.38939,1.989,Between Hillcrest Rd and Bay Bridge (San Francisco) - Accident.,139.0, Forest Rd,R,San Francisco,San Francisco,CA,94130-1502,US,US/Pacific,KOAK,2016-04-01 07:53:00,54.0,,75.0,30.19,10.0,WSW,12.7,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1418,2,2016-04-01 15:05:55,2016-04-01 21:05:55,37.77534,-122.40601,37.77299,-122.40682,0.168,At 7th St/Bryant St - Accident.,,I-80 W,R,San Francisco,San Francisco,CA,94103,US,US/Pacific,KSFO,2016-04-01 14:56:00,61.0,,67.0,30.19,10.0,West,15.0,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1425,2,2016-04-01 15:33:10,2016-04-01 21:33:10,37.80791,-122.3674,37.80791,-122.3674,0.0,At Treasure Island Rd - Accident.,,I-80 W,R,San Francisco,San Francisco,CA,94130,US,US/Pacific,KOAK,2016-04-01 15:53:00,63.0,,58.0,30.18,10.0,West,15.0,,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1510,2,2016-04-04 12:14:56,2016-04-04 18:14:56,37.76215,-122.40566,37.76273,-122.40531,0.044,At Vermont St - Accident. Left lane blocked.,,James Lick Fwy S,R,San Francisco,San Francisco,CA,94110,US,US/Pacific,KSFO,2016-04-04 11:56:00,62.1,,65.0,30.25,10.0,West,20.7,,Partly Cloudy,True,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1531,2,2016-04-04 19:20:31,2016-04-05 01:20:31,37.78606,-122.3909,37.7857,-122.39145,0.039,At Fremont St/Harrison St - Accident.,,I-80 W,R,San Francisco,San Francisco,CA,94105,US,US/Pacific,KOAK,2016-04-04 18:53:00,63.0,,60.0,30.18,10.0,SW,10.4,,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1613,2,2016-04-06 05:55:25,2016-04-06 11:55:25,37.78606,-122.3909,37.7857,-122.39145,0.039,At Fremont St/Harrison St - Accident. Left lane blocked.,,I-80 W,R,San Francisco,San Francisco,CA,94105,US,US/Pacific,KOAK,2016-04-06 05:53:00,61.0,,58.0,30.11,10.0,SE,8.1,,Clear,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-1615,2,2016-04-06 06:21:22,2016-04-06 12:21:22,37.766264,-122.404906,37.767461,-122.405,0.083,At US-101 - Accident. Left lane blocked.,,San Francisco-Oakland Bay Bridge,R,San Francisco,San Francisco,CA,94103,US,US/Pacific,KSFO,2016-04-06 05:56:00,59.0,,64.0,30.12,10.0,SE,5.8,,Clear,False,False,False,False,False,False,False,False,True,False,False,False,False,Night,Day,Day,Day
A-1645,2,2016-04-06 13:33:21,2016-04-06 19:33:21,37.80937,-122.36581,37.78743,-122.38939,1.989,Between Hillcrest Rd and Bay Bridge (San Francisco) - Accident.,139.0, Forest Rd,R,San Francisco,San Francisco,CA,94130-1502,US,US/Pacific,KOAK,2016-04-06 13:53:00,77.0,,36.0,30.06,10.0,WSW,8.1,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1648,2,2016-04-06 14:51:09,2016-04-06 20:51:09,37.794368,-122.469533,37.794361,-122.469533,0.0,At General Douglas MacArthur Tunl - Accident.,,State Highway 1,R,San Francisco,San Francisco,CA,94129,US,US/Pacific,KSFO,2016-04-06 14:56:00,82.0,,28.0,30.03,10.0,North,3.5,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1705,3,2016-04-07 08:25:33,2016-04-07 14:25:33,37.80791,-122.3674,37.80791,-122.3674,0.0,At Treasure Island Rd - Accident.,,I-80 W,R,San Francisco,San Francisco,CA,94130,US,US/Pacific,KOAK,2016-04-07 08:53:00,61.0,,70.0,29.97,10.0,North,11.5,,Overcast,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1711,2,2016-04-07 09:57:53,2016-04-07 15:57:53,37.73139000000001,-122.42325,37.73186,-122.41627,0.3829999999999999,At Alemany Blvd - Accident. Left lane blocked.,,John F Foran Fwy,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2016-04-07 09:56:00,63.0,,75.0,29.96,10.0,NNE,10.4,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1723,2,2016-04-07 14:27:34,2016-04-07 20:27:34,37.76824000000001,-122.39638,37.77435,-122.40048,0.478,At 5th St - Accident.,,John F Foran Fwy N,R,San Francisco,San Francisco,CA,94158,US,US/Pacific,KOAK,2016-04-07 14:53:00,70.0,,46.0,29.93,10.0,West,9.2,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1833,2,2016-04-11 08:48:36,2016-04-11 14:48:36,37.77332,-122.40654,37.77554,-122.40529,0.168,At 7th St/Bryant St - Accident. Left lane blocked.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94103,US,US/Pacific,KSFO,2016-04-11 08:56:00,55.9,,84.0,30.09,10.0,SSE,8.1,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1836,2,2016-04-11 10:00:58,2016-04-11 16:00:58,37.78606,-122.3909,37.7857,-122.39145,0.039,At Fremont St/Harrison St - Accident. Center lane blocked.,,I-80 W,R,San Francisco,San Francisco,CA,94105,US,US/Pacific,KOAK,2016-04-11 09:53:00,60.1,,69.0,30.1,10.0,South,9.2,,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1837,2,2016-04-11 11:59:35,2016-04-11 17:59:35,37.80791,-122.3674,37.80791,-122.3674,0.0,At Treasure Island Rd - Accident. Right lane blocked.,,I-80 W,R,San Francisco,San Francisco,CA,94130,US,US/Pacific,KOAK,2016-04-11 11:53:00,63.0,,60.0,30.12,10.0,South,5.8,,Overcast,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1847,2,2016-04-11 14:32:58,2016-04-11 20:32:58,37.80791,-122.3674,37.80791,-122.3674,0.0,At Treasure Island Rd - Accident.,,I-80 W,R,San Francisco,San Francisco,CA,94130,US,US/Pacific,KOAK,2016-04-11 14:53:00,64.9,,56.0,30.11,10.0,West,10.4,,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1869,2,2016-04-12 06:19:33,2016-04-12 12:19:33,37.80706,-122.47557,37.80715,-122.47567,0.008,At Golden Gate Bridge/Toll Plaza - Accident.,,Golden Gate Brg S,R,San Francisco,San Francisco,CA,94129,US,US/Pacific,KSFO,2016-04-12 05:56:00,55.0,,72.0,30.16,10.0,WSW,10.4,,Mostly Cloudy,True,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-1878,2,2016-04-12 07:52:53,2016-04-12 13:52:53,37.80706,-122.47557,37.80715,-122.47567,0.008,At Golden Gate Bridge/Toll Plaza - Accident.,,Golden Gate Brg S,R,San Francisco,San Francisco,CA,94129,US,US/Pacific,KSFO,2016-04-12 07:56:00,55.0,,74.0,30.2,9.0,West,23.0,,Overcast,True,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1904,2,2016-04-12 16:23:48,2016-04-12 22:23:48,37.73221,-122.43226,37.73022,-122.43925,0.406,At Monterey Blvd/San Jose Ave - Accident.,,I-280 S,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2016-04-12 15:56:00,61.0,,72.0,30.22,10.0,West,19.6,,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1929,2,2016-04-13 08:42:47,2016-04-13 14:42:47,37.743816,-122.405713,37.744505,-122.405255,0.054,At Army St/Potrero Ave - Accident. Right lane blocked.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94110,US,US/Pacific,KSFO,2016-04-13 08:56:00,55.9,,80.0,30.2,10.0,West,11.5,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1938,2,2016-04-13 10:35:48,2016-04-13 16:35:48,37.80791,-122.3674,37.80791,-122.3674,0.0,At Treasure Island Rd - Accident.,,I-80 W,R,San Francisco,San Francisco,CA,94130,US,US/Pacific,KOAK,2016-04-13 10:53:00,61.0,,64.0,30.21,10.0,WSW,11.5,,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1943,2,2016-04-13 13:57:00,2016-04-13 19:57:00,37.80937,-122.36581,37.78743,-122.38939,1.989,Between Hillcrest Rd and Bay Bridge (San Francisco) - Accident.,139.0, Forest Rd,R,San Francisco,San Francisco,CA,94130-1502,US,US/Pacific,KOAK,2016-04-13 13:53:00,63.0,,56.0,30.19,10.0,West,16.1,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1954,2,2016-04-13 15:33:44,2016-04-13 21:33:44,37.75232000000001,-122.40303,37.74800000000001,-122.40425,0.306,At Army St/Potrero Ave - Accident.,,James Lick Fwy S,R,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2016-04-13 15:53:00,63.0,,54.0,30.17,10.0,West,16.1,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2003,2,2016-04-14 08:34:48,2016-04-14 14:34:48,37.80791,-122.3674,37.80791,-122.3674,0.0,At Treasure Island Rd - Accident. Left lane blocked.,,I-80 W,R,San Francisco,San Francisco,CA,94130,US,US/Pacific,KOAK,2016-04-14 08:53:00,55.9,,62.0,30.15,10.0,WNW,6.9,,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2023,2,2016-04-14 12:50:22,2016-04-14 18:50:22,37.72747800000001,-122.402803,37.726443,-122.402449,0.074,At Paul Ave - Accident. Left lane blocked.,,James Lick Fwy S,R,San Francisco,San Francisco,CA,94134,US,US/Pacific,KSFO,2016-04-14 12:56:00,62.1,,60.0,30.17,10.0,West,20.7,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2036,2,2016-04-14 14:35:58,2016-04-14 20:35:58,37.787404,-122.472422,37.7872,-122.4725,0.015,At Presidio of San Francisco - Accident.,,State Highway 1,R,San Francisco,San Francisco,CA,94129,US,US/Pacific,KSFO,2016-04-14 14:56:00,63.0,,63.0,30.16,10.0,West,26.5,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2061,2,2016-04-14 17:23:19,2016-04-14 23:23:19,37.80706,-122.47557,37.80715,-122.47567,0.008,At Golden Gate Bridge/Toll Plaza - Accident.,,Golden Gate Brg S,R,San Francisco,San Francisco,CA,94129,US,US/Pacific,KSFO,2016-04-14 16:56:00,61.0,,60.0,30.13,10.0,West,31.1,,Partly Cloudy,True,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2092,2,2016-04-18 06:51:53,2016-04-18 12:51:53,37.760359,-122.406283,37.76124,-122.406152,0.061,At Vermont St - Accident.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2016-04-18 06:53:00,54.0,,75.0,30.04,10.0,NE,3.5,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2113,2,2016-04-18 13:29:48,2016-04-18 19:29:48,37.77332,-122.40654,37.77554,-122.40529,0.168,At 7th St/Bryant St - Accident.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94103,US,US/Pacific,KSFO,2016-04-18 13:56:00,73.9,,46.0,30.04,10.0,North,6.9,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2117,2,2016-04-18 14:46:59,2016-04-18 20:46:59,37.8089,-122.36634,37.81053,-122.36464,0.146,At Hillcrest Rd - Accident.,,San Francisco-Oakland Bay Brg E,R,San Francisco,San Francisco,CA,94130,US,US/Pacific,KOAK,2016-04-18 14:53:00,79.0,,42.0,30.04,10.0,NW,13.8,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2157,2,2016-04-19 08:30:02,2016-04-19 14:30:02,37.725626,-122.401845,37.725132,-122.401681,0.035,At Bacon St - Accident. Left lane blocked.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94134,US,US/Pacific,KSFO,2016-04-19 08:56:00,64.9,,50.0,29.98,10.0,NE,3.5,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2183,2,2016-04-19 14:59:10,2016-04-19 20:59:10,37.70829000000001,-122.46887,37.70029,-122.47177,0.575,Between St Charles Ave and CA-1/John Daly Blvd - Accident.,,I-280 S,R,San Francisco,San Francisco,CA,94132,US,US/Pacific,KSFO,2016-04-19 14:56:00,79.0,,44.0,29.94,10.0,WNW,11.5,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2199,2,2016-04-19 17:26:18,2016-04-19 23:26:18,37.78606,-122.3909,37.7857,-122.39145,0.039,At Fremont St/Harrison St - Accident.,,I-80 W,R,San Francisco,San Francisco,CA,94105,US,US/Pacific,KOAK,2016-04-19 17:53:00,71.1,,34.0,29.9,10.0,NW,5.8,,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2249,2,2016-04-20 11:38:01,2016-04-20 17:38:01,37.76969,-122.416209,37.76967,-122.41598,0.013,At Van Ness Ave/Duboce Ave/Exit 434A - Accident.,136.0, 13th St,R,San Francisco,San Francisco,CA,94103,US,US/Pacific,KSFO,2016-04-20 11:56:00,66.0,,42.0,29.97,10.0,NNE,6.9,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2256,2,2016-04-20 14:36:03,2016-04-20 20:36:03,37.77332,-122.40654,37.77554,-122.40529,0.168,At 7th St/Bryant St - Accident.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94103,US,US/Pacific,KSFO,2016-04-20 14:56:00,73.9,,43.0,29.94,10.0,SW,12.7,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2283,2,2016-04-20 18:20:04,2016-04-21 00:20:04,37.80937,-122.36581,37.78743,-122.38939,1.989,Between Hillcrest Rd and Bay Bridge (San Francisco) - Accident.,139.0, Forest Rd,R,San Francisco,San Francisco,CA,94130-1502,US,US/Pacific,KOAK,2016-04-20 17:53:00,68.0,,63.0,29.93,10.0,West,18.4,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2287,2,2016-04-20 18:50:58,2016-04-21 00:50:58,37.770257,-122.421295,37.770258,-122.421303,0.0,At Market St - Accident.,44.0, Duboce Ave,L,San Francisco,San Francisco,CA,94103-1230,US,US/Pacific,KSFO,2016-04-20 18:56:00,66.0,,56.0,29.92,10.0,West,8.1,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2324,2,2016-04-21 09:40:38,2016-04-21 15:40:38,37.71974,-122.44819,37.71951,-122.44822,0.016,At Geneva Ave - Accident. Right lane blocked.,,John F Foran Fwy,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2016-04-21 09:56:00,62.1,,78.0,29.92,10.0,South,8.1,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2343,2,2016-04-21 16:05:17,2016-04-21 22:05:17,37.74492,-122.40505,37.76287,-122.40524,1.24,Between Army St/Potrero Ave and Vermont St - Accident.,,James Lick Fwy S,R,San Francisco,San Francisco,CA,94124,US,US/Pacific,KSFO,2016-04-21 16:13:00,68.0,,50.0,29.89,10.0,SW,12.7,,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2345,2,2016-04-21 16:05:17,2016-04-21 22:05:17,37.81009,-122.36509,37.82146,-122.33157,1.991,Between Treasure Island Rd and Bay Bridge (Oakland) - Accident.,,I-80 W,R,San Francisco,San Francisco,CA,94130,US,US/Pacific,KOAK,2016-04-21 15:53:00,69.1,,61.0,29.88,10.0,WSW,21.9,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2363,2,2016-04-21 19:36:22,2016-04-22 01:36:22,37.76197,-122.40578,37.76287,-122.40524,0.069,At Vermont St - Accident.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2016-04-21 19:53:00,64.0,,67.0,29.87,10.0,SW,12.7,,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2397,2,2016-04-22 10:27:46,2016-04-22 16:27:46,37.73158,-122.43652,37.73155,-122.44887,0.675,At Monterey Blvd/San Jose Ave - Accident.,,Monterey Blvd,R,San Francisco,San Francisco,CA,94131,US,US/Pacific,KSFO,2016-04-22 10:56:00,57.0,,93.0,29.87,10.0,SSW,18.4,0.0,Light Rain,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-2441,2,2016-04-22 16:19:42,2016-04-22 22:19:42,37.61502,-122.39399,37.61159,-122.39454,0.239,At Terminal Acc - Accident.,,Airport Access Rd,R,San Francisco,San Mateo,CA,94128,US,US/Pacific,KSFO,2016-04-22 15:56:00,61.0,,67.0,29.95,10.0,WSW,21.9,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2458,2,2016-04-22 17:25:45,2016-04-22 23:25:45,37.8027,-122.46756,37.80504000000001,-122.47301000000002,0.3389999999999999,At CA-1 (San Francisco) - Accident.,,Presidio Pkwy,R,San Francisco,San Francisco,CA,94129,US,US/Pacific,KSFO,2016-04-22 16:56:00,61.0,,64.0,29.97,10.0,WSW,20.7,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2589,2,2016-04-26 15:35:16,2016-04-26 21:35:16,37.761857,-122.405846,37.761845,-122.405853,0.001,At Vermont St - Accident.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2016-04-26 15:53:00,64.9,,47.0,30.05,10.0,West,13.8,,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2619,2,2016-04-27 08:01:50,2016-04-27 14:01:50,37.71951,-122.44822,37.71974,-122.44819,0.016,At Geneva Ave - Accident. Right lane blocked.,,John F Foran Fwy,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2016-04-27 07:56:00,53.1,,89.0,29.98,10.0,Variable,4.6,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2644,2,2016-04-27 14:22:55,2016-04-27 20:22:55,37.78709,-122.38801,37.78181,-122.38841,0.365,At Bryant St - Accident.,518.0, The Embarcadero,R,San Francisco,San Francisco,CA,94105-1264,US,US/Pacific,KOAK,2016-04-27 13:53:00,62.1,,56.0,29.91,10.0,West,26.5,,Partly Cloudy,True,False,True,False,False,False,True,False,False,False,False,True,False,Day,Day,Day,Day
A-2645,4,2016-04-27 15:04:56,2016-04-27 21:04:56,37.784105,-122.38796,37.78965,-122.38838,0.384,Closed between Brannan St and Harrison St - Road closed due to accident.,655.0, The Embarcadero,R,San Francisco,San Francisco,CA,94111-1408,US,US/Pacific,KOAK,2016-04-27 14:53:00,63.0,,56.0,29.9,10.0,West,25.3,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2704,2,2016-04-28 11:59:54,2016-04-28 17:59:54,37.80811,-122.36719,37.80771,-122.36764,0.037,At Treasure Island Rd - Accident. Right lane blocked.,,I-80 W,R,San Francisco,San Francisco,CA,94130,US,US/Pacific,KOAK,2016-04-28 11:53:00,64.0,,52.0,29.94,10.0,WSW,8.1,,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2715,2,2016-04-28 15:39:38,2016-04-28 21:39:38,37.73226,-122.43197,37.73016,-122.4394,0.431,At Monterey Blvd/San Jose Ave - Accident.,,I-280 S,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2016-04-28 15:56:00,60.1,,64.0,29.94,10.0,West,27.6,,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2717,2,2016-04-28 15:47:30,2016-04-28 21:47:30,37.73473,-122.40638,37.74072,-122.40774,0.42,At I-280/Alemany Blvd - Accident.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94134,US,US/Pacific,KSFO,2016-04-28 15:56:00,60.1,,64.0,29.94,10.0,West,27.6,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2754,2,2016-04-29 12:15:00,2016-04-29 18:15:00,37.77848,-122.40061,37.78231,-122.39608,0.362,At 4th St/5th St - Accident.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2016-04-29 11:53:00,61.0,,62.0,30.06,10.0,WSW,11.5,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
